Year,"				Time",Machine ID,"			Unit No","			Model","				SW Version",LOT No,"				Chip ID","			BCR ID", LensBcr,Step,MotorTx,"			MotorTy","			MotorX","				MotorY","			MotorZ",OC_X,"				OC_Y","				OC_Threshold","		OC_Left","		OC_Right","		OC_Top","		OC_Bottom",CentSFR,"			LfUpSFR6085","			RgtUpSFR6085","			LfDnSFR6085","		RgtDnSFR6085",LfUpSFR60,"			RgtUpSFR60","			LfDnSFR60","		RgtDnSFR60",LfUpSFR85,"			RgtUpSFR85","			LfDnSFR85","		RgtDnSFR85",DFOV,"				TiltX","				TiltY","				Rotation",CenterROI_Left,"		CenterROI_Right","	CenterROI_Top","		CenterROI_Btm",LeftTopROI_Left,"	LeftTopROI_Right","	LeftTopROI_Top","		LeftTopROI_Btm",RightToptROI_Left,"	RightTopROI_Right","	RightTopROI_Top","	RightTopROI_Btm",LeftBtmROI_Left,"	LeftBtmROI_Right","	LeftBtmROI_Top","		LeftBtmROI_Btm",RightBtmtROI_Left,"	RightBtmROI_Right","	RightBtmROI_Top","	RightBtmROI_Btm",IMG1_Cen, IMG1_LeftUp, IMG1_RightUp, IMG1_LeftDown, IMG1_RightDown, IMG2_Cen, IMG2_LeftUp, IMG2_RightUp, IMG2_LeftDown, IMG2_RightDown, IMG3_Cen, IMG3_LeftUp, IMG3_RightUp, IMG3_LeftDown, IMG3_RightDown
10/12/2022,11:15:02:647,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,9,0.024,-0.01092,-5.619,-10.742,-1.0032, , , , , , , ,0.054954,0.025891,0.026136,0.020197,0.019264,0.030468,0.01261,0.025776,0.0109,0.021313,0.039662,0.014618,0.027628,30.758154,0.807852,0.106586,0.298413,2010,2145,1436,1571,180,315,197,332,3872,4007,224,359,168,303,2646,2781,3854,3989,2675,2810,0.030626,0.012037,0.039281,0.007281,0.02915,0.030626,0.012037,0.039281,0.007281,0.02915,0,0,0,0,0
10/12/2022,11:15:02:836,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,10,0.024,-0.01092,-5.619,-10.742,-1.0156, , , , , , , ,0.057052,0.034801,0.034522,0.031017,0.024316,0.033891,0.016531,0.024821,0.021499,0.035711,0.052513,0.037213,0.027132,30.79147,0.807852,0.142416,0.037302,2010,2145,1432,1567,181,316,198,333,3866,4001,225,360,168,303,2646,2781,3848,3983,2667,2802,0.055356,0.039182,0.04802,0.057953,0.041075,0.055082,0.039629,0.054477,0.058332,0.046518,0,0,0,0,0
10/12/2022,11:15:03:036,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,11,0.024,-0.01092,-5.619,-10.742,-1.0272, , , , , , , ,0.184166,0.155655,0.090042,0.171818,0.078444,0.15892,0.085787,0.165839,0.070109,0.15239,0.094297,0.177796,0.08678,30.871895,0.830764,0.118932,0.149597,2010,2145,1432,1567,181,316,199,334,3866,4001,225,360,170,305,2642,2777,3848,3983,2667,2802,0.195877,0.169065,0.11875,0.218832,0.074627,0.195877,0.169065,0.11875,0.218832,0.074627,0,0,0,0,0
10/12/2022,11:15:03:504,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,12,0.024,-0.01092,-5.619,-10.742,-1.0317, , , , , , , ,0.467785,0.426,0.323542,0.451,0.325066,0.452037,0.332519,0.463927,0.331154,0.399963,0.314566,0.438073,0.318978,30.927427,0.89986,0.119237,0.262479,2010,2145,1432,1567,187,322,199,334,3860,3995,227,362,174,309,2638,2773,3844,3979,2665,2800,0.468111,0.414802,0.343743,0.477617,0.274776,0.468111,0.414802,0.343743,0.477617,0.274776,0.459754,0.412508,0.339973,0.465224,0.26695
10/12/2022,11:15:03:982,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,13,0.024,-0.01092,-5.619,-10.742,-1.0366, , , , , , , ,0.540754,0.493221,0.400674,0.520862,0.403815,0.524797,0.41303,0.539022,0.415212,0.461646,0.388318,0.502703,0.392417,31.035177,0.858217,0.119237,0.262479,2010,2145,1432,1567,187,322,199,334,3862,3997,227,362,174,309,2638,2773,3840,3975,2665,2800,0.536979,0.468397,0.413028,0.524275,0.340574,0.536979,0.468397,0.413028,0.524275,0.340574,0.528991,0.465455,0.405512,0.523019,0.340597
10/12/2022,11:15:04:466,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,14,0.024,-0.01092,-5.619,-10.742,-1.0416, , , , , , , ,0.601843,0.544663,0.469134,0.575898,0.483235,0.576222,0.485843,0.60078,0.503177,0.513103,0.452425,0.551017,0.463292,31.064632,0.858217,0.131385,0.074994,2010,2145,1434,1569,188,323,200,335,3860,3995,231,366,176,311,2638,2773,3840,3975,2660,2795,0.594395,0.512182,0.471868,0.560353,0.42411,0.594395,0.512182,0.471868,0.560353,0.42411,0.591599,0.514382,0.470799,0.559682,0.416125
10/12/2022,11:15:04:930,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,15,0.024,-0.01092,-5.619,-10.742,-1.0466, , , , , , , ,0.639743,0.583472,0.540539,0.610278,0.547204,0.617334,0.563876,0.63687,0.567999,0.54961,0.517202,0.583687,0.52641,31.064632,0.816354,0.131385,0.075389,2010,2145,1434,1569,188,323,201,336,3860,3995,231,366,176,311,2634,2769,3840,3975,2659,2794,0.632951,0.53534,0.526784,0.571993,0.486391,0.632951,0.53534,0.526784,0.571993,0.486391,0.632119,0.541896,0.526113,0.573975,0.481225
10/12/2022,11:15:05:402,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,16,0.024,-0.01092,-5.619,-10.742,-1.0515, , , , , , , ,0.655412,0.589418,0.583698,0.615627,0.585546,0.624703,0.604257,0.646291,0.610971,0.554134,0.563138,0.584963,0.560122,31.07309,0.816354,0.119543,0.075389,2010,2145,1434,1569,194,329,205,340,3860,3995,231,366,176,311,2634,2769,3836,3971,2660,2795,0.652711,0.53544,0.562498,0.560911,0.531151,0.652711,0.53544,0.562498,0.560911,0.531151,0.650374,0.540987,0.565215,0.561995,0.529846
10/12/2022,11:15:05:876,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,17,0.024,-0.01092,-5.619,-10.742,-1.0565, , , , , , , ,0.648995,0.567398,0.602016,0.594877,0.597871,0.601112,0.624402,0.629132,0.626334,0.533683,0.579631,0.560622,0.569409,31.081568,0.816354,0.13161,0.150778,2010,2145,1434,1569,192,327,201,336,3858,3993,231,366,176,311,2634,2769,3836,3971,2659,2794,0.644559,0.512455,0.570763,0.526053,0.550762,0.646507,0.512708,0.576304,0.525442,0.553752,0.646507,0.512708,0.576304,0.525442,0.553752
10/12/2022,11:15:06:348,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,18,0.024,-0.01092,-5.619,-10.742,-1.0614, , , , , , , ,0.626274,0.526681,0.592197,0.553078,0.586589,0.559922,0.613025,0.587209,0.618649,0.493441,0.57137,0.518947,0.554529,31.094318,0.816354,0.131835,0.26386,2010,2145,1434,1569,194,329,205,340,3856,3991,231,366,180,315,2634,2769,3836,3971,2659,2794,0.618402,0.458035,0.567859,0.46803,0.553222,0.623307,0.463015,0.568743,0.471076,0.55202,0.624119,0.46657,0.56662,0.474596,0.551428
